neighborhood,crime_type,property_value,children_count
Loop,9459,124.04137518409425,21728
West Loop,4216,180.08826757553,17311
Lower West Side,2215,172.5943764865783,11772
Fuller Park,723,86.41775836972343,1374
Gold Coast,609,337.1573586633097,8738
Wrigleyville,507,250.4624480664749,3129
Uptown,3586,123.72647151400693,28593
Lake View,4824,211.33978081138244,52010
Lincoln Park,3491,342.7660230407269,24652
Chinatown,450,154.56206896551726,2320
South Deering,1758,82.69454444752147,7222
South Chicago,4272,84.50336373149948,13378
Irving Park,2793,210.3267598803847,24746
Auburn Gresham,7530,86.54218106995884,25272
West Town,2516,247.34992793658418,16652
East Village,427,231.65483943408938,4453
Little Village,4663,153.91137663514354,17659
Albany Park,2395,176.2754150557198,17588
Rogers Park,3568,91.85053171367323,23791
Riverdale,1349,80.2204152249135,2890
Roseland,6909,88.79307201458523,23037
Chicago Lawn,5639,94.80711236261241,22018
Hegewisch,617,110.66209505793331,4229
Belmont Cragin,4402,179.69578138590896,27592
Dunning,1442,195.2789624203502,19931
Galewood,472,193.259097236031,5029
Englewood,13416,74.2144113714728,28422
Woodlawn,3479,74.67769392769392,11396
Hermosa,1192,188.7486200551978,8696
Humboldt Park,9244,152.72286034458608,28556
Lincoln Square,2017,192.98705659092016,20551
Morgan Park,2084,138.8589179394253,11589
Beverly,904,214.23680483429328,10591
West Ridge,3397,151.0598726575501,27642
Wicker Park,2383,269.13386358520296,13327
Logan Square,3727,192.4205077643579,28399
South Shore,8517,68.38811093341654,25637
Austin,14278,113.0190469150404,40584
Ashburn,2356,130.45296336206897,18560
North Center,1303,354.8559969853575,18576
Norwood Park,1145,223.89320388349515,19570
Bridgeport,1479,205.37489634376178,13265
Archer Heights,816,167.10709812108558,4790
Brighton Park,2223,155.4209574067094,13265
Edgewater,2327,118.16461319252367,23862
Avondale,2251,207.89450885463117,15698
Grand Crossing,6283,81.66887816646562,16580
North Lawndale,9222,97.07270049538091,14938
West Elsdon,934,143.05936572410562,6401
Washington Park,2718,54.61801242236025,5152
Washington Heights,3113,96.08401922697044,15187
Mckinley Park,913,170.13375148330226,5899
United Center,2156,114.51989602079584,5001
Calumet Heights,1493,117.14227330779055,7830
New City,4030,125.80092624593904,14467
Grand Boulevard,3081,87.46205014497697,11726
Gage Park,2052,125.04325410695562,11444
Garfield Ridge,2040,161.93610541363665,16089
Portage Park,3184,199.60870308918615,29231
West Pullman,3977,86.01990521327014,14770
Montclare,584,174.00679324159555,5741
East Side,1085,94.37533482142857,8960
Garfield Park,10509,108.74628300073492,17689
Rush & Division,1227,150.29214145383105,5090
OHare,1475,111.38278529980657,5170
Hyde Park,1918,131.51728462804735,12757
Avalon Park,1062,106.21149505122418,5759
Andersonville,384,259.6578222778473,3995
Streeterville,2071,268.25894955079474,14470
West Lawn,1723,132.8752809924236,12011
Douglas,2706,80.72271689497717,8760
River North,5874,208.39123047151554,21187
Magnificent Mile,1679,397.0719696969697,264
Museum Campus,94,211.02941176470588,34
Chatham,6091,68.21641717549734,20308
Near South Side,1765,239.05149323211344,13963
Mount Greenwood,506,177.98175017002947,8822
SauganashForest Glen,474,326.54093974098254,9343
Clearing,1002,149.83779705771408,10604
Ukrainian Village,661,236.9418450464103,5279
Bucktown,1106,329.5883689839572,7480
Armour Square,555,188.18783542039355,2236
Little Italy UIC,2610,197.32765998832912,10282
Old Town,2106,294.09113404977376,14144
Kenwood,1505,132.54797441364605,8442
Pullman,1122,91.1039435248296,4108
Edison Park,233,246.88307155322863,5730
Greektown,292,146.38803680981596,652
Jefferson Park,1093,215.5810511318664,12634
Sheffield & DePaul,709,361.786101836394,4792
Boystown,426,172.32235872235873,2035
North Park,989,208.1983383885006,7583
